,,,,,,,,,,,
,Time Series Workbook,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,"6202.0 Labour Force, Australia",,,,,,,,,,
,"Table 010. Labour force status by Sex, State and Territory - Trend, Seasonally adjusted and Original",,,,,,,,,,
,,,,,,,,,,,
,,,Enquiries,,,,,,,,
,,,,,,,,,,,
Data Item Description,,,Series Type,Series ID,Series Start,Series End,No. Obs.,Unit,Data Type,Freq.,Collection Month
,,,,,,,,,,,
Employed total ;  > Males ;  > Queensland ;,,,Trend,A84423839K,1978-02-01 00:00:00,2026-06-01 00:00:00,581,000,STOCK,Month,1
Employed total ;  > Males ;  > Queensland ;,,,Seasonally Adjusted,A84423167F,1978-02-01 00:00:00,2026-06-01 00:00:00,581,000,STOCK,Month,1
Employed total ;  > Males ;  > Queensland ;,,,Original,A84423503F,1978-02-01 00:00:00,2026-06-01 00:00:00,581,000,STOCK,Month,1
Employed total ;  > Males ;  > South Australia ;,,,Trend,A84423923A,1978-02-01 00:00:00,2026-06-01 00:00:00,581,000,STOCK,Month,1
Employed total ;  > Males ;  > South Australia ;,,,Seasonally Adjusted,A84423251W,1978-02-01 00:00:00,2026-06-01 00:00:00,581,000,STOCK,Month,1
Employed total ;  > Males ;  > South Australia ;,,,Original,A84423587A,1978-02-01 00:00:00,2026-06-01 00:00:00,581,000,STOCK,Month,1
Employed total ;  > Males ;  > Western Australia ;,,,Trend,A84423881R,1978-02-01 00:00:00,2026-06-01 00:00:00,581,000,STOCK,Month,1
Employed total ;  > Males ;  > Western Australia ;,,,Seasonally Adjusted,A84423209T,1978-02-01 00:00:00,2026-06-01 00:00:00,581,000,STOCK,Month,1
Employed total ;  > Males ;  > Western Australia ;,,,Original,A84423545C,1978-02-01 00:00:00,2026-06-01 00:00:00,581,000,STOCK,Month,1
Employed total ;  > Males ;  > Tasmania ;,,,Trend,A84423853F,1978-02-01 00:00:00,2026-06-01 00:00:00,581,000,STOCK,Month,1
Employed total ;  > Males ;  > Tasmania ;,,,Seasonally Adjusted,A84423181A,1978-02-01 00:00:00,2026-06-01 00:00:00,581,000,STOCK,Month,1
Employed total ;  > Males ;  > Tasmania ;,,,Original,A84423517V,1978-02-01 00:00:00,2026-06-01 00:00:00,581,000,STOCK,Month,1
Employed total ;  > Males ;  > Northern Territory ;,,,Trend,A84423895C,1978-02-01 00:00:00,2026-06-01 00:00:00,581,000,STOCK,Month,1
Employed total ;  > Males ;  > Northern Territory ;,,,Original,A84423559T,1978-02-01 00:00:00,2026-06-01 00:00:00,581,000,STOCK,Month,1
Employed total ;  > Males ;  > Australian Capital Territory ;,,,Trend,A84423867V,1978-02-01 00:00:00,2026-06-01 00:00:00,581,000,STOCK,Month,1
Employed total ;  > Males ;  > Australian Capital Territory ;,,,Original,A84423531R,1978-02-01 00:00:00,2026-06-01 00:00:00,581,000,STOCK,Month,1
Employed total ;  > Females ;  Australia ;,,,Trend,A84423141J,1978-02-01 00:00:00,2026-06-01 00:00:00,581,000,STOCK,Month,1
Employed total ;  > Females ;  Australia ;,,,Seasonally Adjusted,A84423057T,1978-02-01 00:00:00,2026-06-01 00:00:00,581,000,STOCK,Month,1
Employed total ;  > Females ;  Australia ;,,,Original,A84423099R,1978-02-01 00:00:00,2026-06-01 00:00:00,581,000,STOCK,Month,1
Employed total ;  > Females ;  > New South Wales ;,,,Trend,A84424049K,1978-02-01 00:00:00,2026-06-01 00:00:00,581,000,STOCK,Month,1
Employed total ;  > Females ;  > New South Wales ;,,,Seasonally Adjusted,A84423377C,1978-02-01 00:00:00,2026-06-01 00:00:00,581,000,STOCK,Month,1
Employed total ;  > Females ;  > New South Wales ;,,,Original,A84423713C,1978-02-01 00:00:00,2026-06-01 00:00:00,581,000,STOCK,Month,1
Employed total ;  > Females ;  > Victoria ;,,,Trend,A84424133A,1978-02-01 00:00:00,2026-06-01 00:00:00,581,000,STOCK,Month,1
